Stock_ID,Stock_Name,Stock_Industry,Stock_Industry_Prev,Stock_Market,Stock_Code,Total_Value,Total_Value_Prev
600157,永泰能源,电力行业,,CN,sh600157,31771402727.35,0
600158,中体产业,文化传媒,,CN,sh600158,8107885416.15,0
600159,大龙地产,房地产开发,,CN,sh600159,3842914964.16,0
600160,巨化股份,化学制品,,CN,sh600160,43654894129.770004,0
600161,天坛生物,生物制品,,CN,sh600161,50406493767.42,0
600162,香江控股,房地产开发,,CN,sh600162,6340769956.679999,0
600163,中闽能源,电力行业,,CN,sh600163,8506392759.209999,0
600165,宁科生物,化学制品,,CN,sh600165,2486128103.25,0
600166,福田汽车,汽车整车,,CN,sh600166,24651591503.0,0
600167,联美控股,电力行业,,CN,sh600167,13545667292.0,0
600168,武汉控股,公用事业,,CN,sh600168,4392236393.4800005,0
600169,太原重工,专用设备,,CN,sh600169,8046738350.0,0
600170,上海建工,工程建设,,CN,sh600170,22570286949.760002,0
600171,上海贝岭,半导体,,CN,sh600171,11189665760.28,0
600172,黄河旋风,非金属材料,,CN,sh600172,6042752954.440001,0
600173,卧龙地产,房地产开发,,CN,sh600173,3943850153.72,0
600176,中国巨石,玻璃玻纤,,CN,sh600176,45635758699.200005,0
600177,雅戈尔,纺织服装,,CN,sh600177,32077604602.89,0
600178,东安动力,汽车零部件,,CN,sh600178,4488654864.0,0
600179,安通控股,物流行业,,CN,sh600179,11509753382.880001,0
600180,瑞茂通,物流行业,,CN,sh600180,6617561255.76,0
600182,S佳通,橡胶制品,,CN,sh600182,5232600000.0,0
600183,生益科技,电子元件,,CN,sh600183,39602136575.12,0
600184,光电股份,专用设备,,CN,sh600184,6354422716.74,0
600185,格力地产,房地产开发,,CN,sh600185,14740745316.9,0
600186,莲花健康,食品饮料,,CN,sh600186,11373333233.94,0
600187,国中水务,公用事业,,CN,sh600187,4373346789.13,0
600188,兖矿能源,煤炭行业,,CN,sh600188,149308170350.4,0
600189,泉阳泉,食品饮料,,CN,sh600189,7995911538.16,0
600190,锦州港,航运港口,,CN,sh600190,6086966160.0,0
600191,华资实业,食品饮料,,CN,sh600191,3166605960.0,0
600192,长城电工,电网设备,,CN,sh600192,2495876200.0,0
600193,创兴资源,装修装饰,,CN,sh600193,2194924680.0,0
600195,中牧股份,农药兽药,,CN,sh600195,11569609785.8,0
600196,复星医药,化学制药,,CN,sh600196,76163363263.5,0
600197,伊力特,酿酒行业,,CN,sh600197,10506019032.6,0
600198,大唐电信,通信设备,,CN,sh600198,9090865629.52,0
600199,金种子酒,酿酒行业,,CN,sh600199,14497842000.96,0
600200,江苏吴中,化学制药,,CN,sh600200,6595766804.32,0
600201,生物股份,农药兽药,,CN,sh600201,11270914413.560001,0
600202,哈空调,电源设备,,CN,sh600202,2307710845.44,0
600203,福日电子,消费电子,,CN,sh600203,5087837743.56,0
600206,有研新材,小金属,,CN,sh600206,10886675849.52,0
600207,安彩高科,光伏设备,,CN,sh600207,5304952137.9800005,0
600208,新湖中宝,房地产开发,,CN,sh600208,20846904960.0,0
600210,紫江企业,包装材料,,CN,sh600210,7447174535.780001,0
600211,西藏药业,生物制品,,CN,sh600211,13053927433.949999,0
600212,绿能慧充,电力行业,,CN,sh600212,5108714595.84,0
600213,亚星客车,汽车整车,,CN,sh600213,2877160000.0,0
600215,派斯林,通用设备,,CN,sh600215,4255050852.0,0
600216,浙江医药,化学制药,,CN,sh600216,11000715000.0,0
600217,中再资环,环保行业,,CN,sh600217,6512814377.580001,0
600218,全柴动力,汽车零部件,,CN,sh600218,3907331273.4300003,0
600219,南山铝业,有色金属,,CN,sh600219,34540230901.6,0
600220,江苏阳光,纺织服装,,CN,sh600220,3798514894.3799996,0
600221,海航控股,航空机场,,CN,sh600221,63094823501.1,0
600222,太龙药业,中药,,CN,sh600222,4218064180.0499997,0
600223,福瑞达,生物制品,,CN,sh600223,10704469200.75,0
600225,卓朗科技,软件开发,,CN,sh600225,14976021253.57,0
600226,瀚叶股份,农药兽药,,CN,sh600226,7881368122.98,0
600227,赤天化,化学制药,,CN,sh600227,4859295156.87,0
600228,返利科技,互联网服务,,CN,sh600228,4938324170.34,0
600229,城市传媒,文化传媒,,CN,sh600229,5349527760.0,0
600230,沧州大化,化学制品,,CN,sh600230,5842674901.44,0
600231,凌钢股份,钢铁行业,,CN,sh600231,6731096051.839999,0
600232,金鹰股份,纺织服装,,CN,sh600232,2191958449.44,0
600233,圆通速递,物流行业,,CN,sh600233,45540642756.42,0
600234,科新发展,房地产开发,,CN,sh600234,1989908975.34,0
600235,民丰特纸,造纸印刷,,CN,sh600235,2135904000.0,0
600236,桂冠电力,电力行业,,CN,sh600236,44141315691.2,0
600237,铜峰电子,电子元件,,CN,sh600237,4960975716.900001,0
600238,海南椰岛,酿酒行业,,CN,sh600238,4768848000.0,0
600239,云南城投,房地产服务,,CN,sh600239,4897345072.45,0
